iter	Passed	Remaining
197	892	3614
198	895	3606
199	899	3599
200	903	3591
201	907	3583
202	910	3575
203	914	3568
204	918	3561
205	921	3553
206	925	3544
207	929	3538
208	932	3530
209	936	3522
210	939	3514
211	943	3507
212	947	3500
213	951	3494
214	955	3488
215	959	3483
216	963	3476
217	968	3472
218	973	3470
219	977	3466
220	981	3460
221	985	3455
222	990	3450
223	994	3444
224	998	3438
225	1002	3433
226	1006	3428
227	1010	3422
228	1015	3417
229	1019	3412
230	1023	3407
231	1028	3404
232	1034	3404
233	1039	3401
234	1043	3396
235	1047	3391
236	1051	3385
237	1056	3381
238	1060	3375
239	1063	3369
240	1067	3362
241	1071	3354
242	1074	3347
243	1078	3341
244	1082	3335
245	1086	3329
246	1089	3322
247	1093	3315
248	1097	3308
249	1100	3301
250	1104	3296
251	1107	3288
252	1111	3282
253	1115	3277
254	1119	3270
255	1123	3263
256	1126	3256
257	1130	3250
258	1133	3243
259	1137	3237
260	1140	3230
261	1144	3224
262	1148	3218
263	1152	3213
264	1156	3207
265	1159	3200
266	1163	3194
267	1167	3187
268	1170	3181
269	1174	3176
270	1178	3171
271	1183	3167
272	1186	3160
273	1190	3154
274	1194	3148
275	1197	3142
276	1201	3136
277	1204	3129
278	1209	3125
279	1213	3121
280	1217	3116
281	1221	3110
282	1225	3104
283	1230	3101
284	1234	3096
285	1237	3089
286	1241	3084
287	1245	3078
288	1248	3072
289	1252	3066
290	1255	3059
291	1260	3056
292	1265	3053
293	1269	3049
294	1275	3047
295	1279	3043
296	1283	3038
297	1288	3034
298	1292	3030
299	1296	3025
300	1301	3021
301	1305	3017
302	1309	3013
303	1313	3007
304	1317	3002
305	1320	2995
306	1324	2989
307	1328	2984
308	1332	2980
309	1336	2975
310	1341	2971
311	1345	2967
312	1350	2963
313	1353	2957
314	1358	2953
315	1362	2948
316	1365	2942
317	1369	2936
318	1372	2930
319	1376	2926
320	1381	2921
321	1385	2916
322	1389	2911
323	1393	2906
324	1397	2902
325	1401	2897
326	1405	2892
327	1409	2887
328	1412	2881
329	1416	2875
330	1420	2870
331	1423	2864
332	1427	2858
333	1430	2852
334	1434	2846
335	1437	2840
336	1441	2835
337	1444	2829
338	1448	2824
339	1453	2821
340	1457	2817
341	1461	2812
342	1466	2808
343	1470	2803
344	1474	2798
345	1477	2793
346	1481	2788
347	1485	2782
348	1488	2776
349	1492	2771
350	1495	2765
351	1499	2760
352	1503	2755
353	1507	2750
354	1510	2744
355	1514	2739
356	1519	2736
357	1523	2731
358	1527	2727
359	1531	2721
360	1534	2716
361	1539	2712
362	1543	2707
363	1546	2702
364	1550	2698
365	1554	2692
366	1558	2688
367	1562	2684
368	1566	2679
369	1570	2674
370	1574	2669
371	1578	2664
372	1582	2660
373	1586	2655
374	1590	2650
375	1593	2645
376	1597	2640
377	1601	2635
378	1604	2629
379	1608	2624
380	1611	2618
381	1616	2614
382	1619	2608
383	1623	2604
384	1626	2598
385	1630	2593
386	1633	2587
387	1637	2582
388	1640	2577
389	1644	2571
390	1647	2566
391	1651	2561
392	1655	2556
393	1658	2550
394	1661	2545
395	1665	2540
396	1669	2535
397	1672	2530
398	1676	2524
399	1679	2519
400	1683	2514
401	1687	2510
402	1690	2504
403	1694	2499
404	1698	2495
405	1702	2490
406	1705	2485
407	1709	2480
408	1713	2476
409	1718	2473
410	1722	2468
411	1726	2464
412	1731	2460
413	1735	2456
414	1739	2451
415	1744	2448
416	1749	2445
417	1754	2442
418	1758	2438
419	1763	2434
420	1766	2429
421	1770	2425
422	1774	2420
423	1777	2415
424	1781	2410
425	1785	2405
426	1788	2400
427	1792	2395
428	1795	2390
429	1798	2384
430	1802	2379
431	1806	2374
432	1809	2369
433	1813	2364
434	1817	2360
435	1820	2355
436	1824	2350
437	1827	2345
438	1831	2340
439	1834	2335
440	1838	2330
441	1841	2324
442	1845	2319
443	1848	2315
444	1852	2310
445	1855	2305
446	1859	2300
447	1863	2295
448	1866	2290
449	1869	2285
450	1873	2280
451	1877	2276
452	1881	2271
453	1884	2266
454	1888	2262
455	1892	2257
456	1895	2252
457	1899	2248
458	1904	2244
459	1908	2240
460	1912	2236
461	1916	2231
462	1920	2227
463	1925	2223
464	1928	2219
465	1932	2214
466	1937	2211
467	1942	2207
468	1955	2213
469	1960	2210
470	1964	2205
471	1967	2201
472	1972	2197
473	1976	2192
474	1979	2188
475	1983	2183
476	1987	2178
477	1990	2174
478	1994	2169
479	1998	2164
480	2001	2159
481	2005	2154
482	2008	2150
483	2012	2145
484	2015	2140
485	2019	2136
486	2023	2131
487	2026	2126
488	2030	2121
489	2034	2117
490	2037	2112
491	2041	2107
492	2044	2102
493	2048	2098
494	2051	2093
495	2055	2088
496	2058	2083
497	2062	2079
498	2066	2074
499	2070	2070
500	2073	2065
501	2077	2060
502	2081	2056
503	2084	2051
504	2088	2046
505	2091	2042
506	2095	2037
507	2099	2033
508	2103	2029
509	2108	2025
510	2111	2021
511	2115	2016
512	2120	2013
513	2124	2009
514	2128	2004
515	2132	2000
516	2136	1996
517	2140	1991
518	2144	1987
519	2148	1982
520	2151	1978
521	2155	1974
522	2159	1969
523	2162	1964
524	2166	1960
525	2169	1955
526	2173	1951
527	2177	1946
528	2180	1941
529	2184	1936
530	2187	1932
531	2191	1928
532	2195	1923
533	2198	1918
534	2202	1914
535	2206	1909
536	2209	1904
537	2213	1900
538	2216	1895
539	2220	1891
540	2223	1886
541	2227	1882
542	2231	1878
543	2234	1873
544	2238	1868
545	2242	1864
546	2245	1859
547	2249	1855
548	2254	1851
549	2258	1847
550	2262	1844
551	2267	1840
552	2271	1836
553	2276	1832
554	2281	1829
555	2285	1825
556	2289	1821
557	2293	1816
558	2296	1811
559	2301	1808
560	2305	1803
561	2309	1799
562	2313	1795
563	2316	1791
564	2320	1786
565	2324	1782
566	2328	1778
567	2333	1775
568	2338	1771
569	2341	1766
570	2345	1762
571	2349	1757
572	2353	1753
573	2356	1749
574	2361	1745
575	2364	1740
576	2368	1736
577	2372	1732
578	2377	1728
579	2380	1724
580	2386	1720
581	2390	1716
582	2394	1712
583	2398	1708
584	2402	1704
585	2405	1699
586	2409	1695
587	2413	1690
588	2416	1686
589	2420	1681
590	2423	1677
591	2427	1672
592	2431	1668
593	2435	1664
594	2439	1660
595	2443	1656
596	2447	1651
597	2451	1648
598	2455	1644
599	2459	1639
600	2463	1635
601	2467	1631
602	2470	1626
603	2474	1622
604	2477	1617
605	2481	1613
606	2485	1608
607	2488	1604
608	2492	1600
609	2496	1596
610	2500	1591
611	2503	1587
612	2507	1583
613	2511	1578
614	2515	1574
615	2518	1570
616	2522	1565
617	2526	1561
618	2529	1557
619	2534	1553
620	2538	1549
621	2542	1545
622	2545	1540
623	2549	1536
624	2553	1531
625	2556	1527
626	2560	1523
627	2564	1518
628	2567	1514
629	2571	1510
630	2575	1505
631	2578	1501
632	2582	1497
633	2585	1492
634	2589	1488
635	2592	1483
636	2596	1479
637	2599	1475
638	2603	1470
639	2607	1466
640	2611	1462
641	2614	1458
642	2618	1453
643	2622	1449
644	2626	1445
645	2630	1441
646	2633	1436
647	2637	1432
648	2640	1428
649	2644	1423
650	2648	1419
651	2651	1415
652	2655	1410
653	2658	1406
654	2662	1402
655	2666	1398
656	2670	1394
657	2674	1390
658	2679	1386
659	2683	1382
660	2687	1378
661	2691	1374
662	2695	1370
663	2699	1365
664	2703	1361
665	2707	1357
666	2710	1353
667	2714	1348
668	2718	1344
669	2721	1340
670	2725	1336
671	2729	1332
672	2733	1327
673	2736	1323
674	2740	1319
675	2743	1315
676	2748	1311
677	2751	1306
678	2755	1302
679	2758	1298
680	2763	1294
681	2767	1290
682	2771	1286
683	2775	1282
684	2779	1278
685	2782	1273
686	2787	1269
687	2791	1265
688	2795	1261
689	2798	1257
690	2802	1253
691	2806	1249
692	2809	1244
693	2813	1240
694	2817	1236
695	2821	1232
696	2825	1228
697	2830	1224
698	2835	1220
699	2839	1216
700	2844	1213
701	2848	1209
702	2852	1205
703	2856	1201
704	2860	1197
705	2865	1193
706	2869	1189
707	2873	1185
708	2877	1180
709	2881	1176
710	2885	1172
711	2889	1168
712	2893	1164
713	2897	1160
714	2900	1156
715	2904	1152
716	2907	1147
717	2911	1143
718	2915	1139
719	2918	1135
720	2922	1130
721	2925	1126
722	2929	1122
723	2933	1118
724	2938	1114
725	2942	1110
726	2945	1106
727	2949	1102
728	2953	1097
729	2957	1093
730	2961	1089
731	2965	1085
732	2969	1081
733	2973	1077
734	2976	1073
735	2980	1069
736	2984	1065
737	2988	1060
738	2991	1056
739	2995	1052
740	2998	1048
741	3002	1044
742	3007	1040
743	3010	1035
744	3014	1031
745	3017	1027
746	3021	1023
747	3024	1018
748	3027	1014
749	3031	1010
750	3034	1006
751	3038	1002
752	3042	997
753	3045	993
754	3049	989
755	3053	985
756	3057	981
757	3061	977
758	3065	973
759	3070	969
760	3074	965
761	3077	961
762	3081	957
763	3085	953
764	3089	949
765	3093	944
766	3097	940
767	3101	936
768	3105	932
769	3109	928
770	3113	924
771	3117	920
772	3121	916
773	3125	912
774	3129	908
775	3132	904
776	3136	900
777	3139	895
778	3143	891
779	3146	887
780	3149	883
781	3153	879
782	3156	874
783	3160	870
784	3163	866
785	3167	862
786	3170	858
787	3174	853
788	3178	849
789	3181	845
790	3185	841
791	3188	837
792	3191	833
793	3195	829
794	3198	824
795	3202	820
796	3205	816
797	3209	812
798	3213	808
799	3216	804
800	3220	800
801	3224	796
802	3228	792
803	3232	788
804	3237	784
805	3241	780
806	3246	776
807	3250	772
808	3255	768
809	3259	764
810	3263	760
811	3268	756
812	3271	752
813	3275	748
814	3278	744
815	3282	740
816	3287	736
817	3291	732
818	3295	728
819	3298	724
820	3302	720
821	3306	715
822	3311	712
823	3316	708
824	3320	704
825	3324	700
826	3328	696
827	3332	692
828	3336	688
829	3340	684
830	3344	680
831	3347	675
832	3351	671
833	3354	667
834	3358	663
835	3361	659
836	3365	655
837	3369	651
838	3372	647
839	3376	643
840	3379	638
841	3383	634
842	3387	630
843	3390	626
844	3394	622
845	3398	618
846	3401	614
847	3405	610
848	3408	606
849	3412	602
850	3417	598
851	3421	594
852	3425	590
853	3429	586
854	3434	582
855	3438	578
856	3442	574
857	3446	570
858	3450	566
859	3453	562
860	3457	558
861	3462	554
862	3465	550
863	3469	546
864	3474	542
865	3478	538
866	3482	534
867	3485	530
868	3489	526
869	3493	521
870	3497	517
871	3500	513
872	3505	509
873	3508	505
874	3512	501
875	3516	497
876	3519	493
877	3523	489
878	3527	485
879	3530	481
880	3534	477
881	3537	473
882	3541	469
883	3545	465
884	3549	461
885	3552	457
886	3556	453
887	3560	449
888	3563	444
889	3567	440
890	3571	436
891	3575	432
892	3578	428
893	3582	424
894	3585	420
895	3589	416
896	3593	412
897	3597	408
898	3600	404
899	3604	400
900	3609	396
901	3613	392
902	3618	388
903	3622	384
904	3626	380
905	3630	376
906	3635	372
907	3639	368
908	3643	364
909	3648	360
910	3651	356
911	3656	352
912	3660	348
913	3664	344
914	3667	340
915	3671	336
916	3675	332
917	3678	328
918	3682	324
919	3686	320
920	3689	316
921	3693	312
922	3697	308
923	3700	304
924	3703	300
925	3707	296
926	3710	292
927	3714	288
928	3717	284
929	3721	280
930	3724	276
931	3728	272
932	3731	267
933	3735	263
934	3738	259
935	3742	255
936	3746	251
937	3750	247
938	3754	243
939	3758	239
940	3764	236
941	3768	232
942	3773	228
943	3777	224
944	3780	220
945	3784	216
946	3789	212
947	3792	208
948	3796	204
949	3800	200
950	3803	195
951	3808	192
952	3812	188
953	3816	184
954	3820	180
955	3825	176
956	3830	172
957	3834	168
958	3838	164
959	3842	160
960	3846	156
961	3851	152
962	3855	148
963	3859	144
964	3863	140
965	3867	136
966	3871	132
967	3874	128
968	3878	124
969	3882	120
970	3885	116
971	3889	112
972	3893	108
973	3898	104
974	3902	100
975	3905	96
976	3909	92
977	3912	88
978	3916	84
979	3919	79
980	3923	75
981	3927	71
982	3930	67
983	3933	63
984	3937	59
985	3941	55
986	3944	51
987	3948	47
988	3951	43
989	3955	39
990	3958	35
991	3961	31
992	3965	27
993	3969	23
994	3973	19
995	3976	15
996	3980	11
997	3984	7
998	3989	3
999	3992	0
