iter	Logloss
0	0.683118307
1	0.6751289602
2	0.6674851761
3	0.658085976
4	0.6496756417
5	0.6419464299
6	0.6344238067
7	0.6266589152
8	0.6204712021
9	0.6148241931
10	0.6090630306
11	0.6040310805
12	0.5992287745
13	0.5945895142
14	0.5890125806
15	0.5843306867
16	0.5804647701
17	0.5756203119
18	0.5707751583
19	0.5671459469
20	0.5641870524
21	0.5606507578
22	0.5569437146
23	0.5535154752
24	0.5500040013
25	0.5469347513
26	0.5426640022
27	0.538919835
28	0.535931466
29	0.5315838479
30	0.5291610036
31	0.5268519382
32	0.5245993612
33	0.5215699633
34	0.5187520755
35	0.5153296134
36	0.5135609847
37	0.5119149612
38	0.5094776204
39	0.5072968305
40	0.5052223841
41	0.503167302
42	0.500303464
43	0.4971078109
44	0.4956488513
45	0.4932954405
46	0.491255069
47	0.4884140723
48	0.4857927702
49	0.483819104
50	0.4824572872
51	0.4812325186
52	0.4795496386
53	0.4779510632
54	0.4763644701
55	0.4747824238
56	0.4734477278
57	0.4719974876
58	0.470542326
59	0.4689457832
60	0.4673029158
61	0.4660020272
62	0.4647861919
63	0.4637189593
64	0.4623743136
65	0.4612998595
66	0.4602727999
67	0.458965813
68	0.4578679826
69	0.4569084308
70	0.4560768335
71	0.4551204912
72	0.4535316514
73	0.4519239822
74	0.450886545
75	0.4497903194
76	0.4486291001
77	0.4478887881
78	0.4469009654
79	0.4458798969
80	0.4448182811
81	0.4434942568
82	0.4416707178
83	0.4408698788
84	0.4401471926
85	0.439215457
86	0.4386634659
87	0.437960679
88	0.4370340519
89	0.4359329852
90	0.4353109188
91	0.4343191108
92	0.4337306913
93	0.4327380275
94	0.4321384814
95	0.4314014324
96	0.4306880005
97	0.4300326616
98	0.4290344345
99	0.4282545914
100	0.4275529278
101	0.4266617664
102	0.4258726155
103	0.4250033058
104	0.4243466831
105	0.4232456966
106	0.4225923904
107	0.4220513921
108	0.4211897587
109	0.4203967296
110	0.4198419034
111	0.4192742925
112	0.4183833183
113	0.4178425073
114	0.4171629629
115	0.4161406642
116	0.4156653014
117	0.4150785668
118	0.4145376755
119	0.4141717053
120	0.4137620851
121	0.4131819034
122	0.4123813318
123	0.4116751749
124	0.4109383666
125	0.4103984381
126	0.4098898029
127	0.4095343975
128	0.4088592396
129	0.4083600993
130	0.407775558
131	0.4073714207
132	0.4066924113
133	0.4061610952
134	0.4056151488
135	0.4051595248
136	0.40430078
137	0.4034707874
138	0.4028160369
139	0.4022824474
140	0.4015893961
141	0.4012408913
142	0.4008493248
143	0.4005131767
144	0.3999963839
145	0.3995041174
146	0.3989797821
147	0.3985709108
148	0.3981905778
149	0.3978332466
150	0.397405947
151	0.3969981188
152	0.3965236654
153	0.3962575125
154	0.3958360971
155	0.3954695117
156	0.395017766
157	0.3943418324
158	0.3936150005
159	0.393088044
160	0.3926953542
161	0.3923800951
162	0.3917042685
163	0.3914389447
164	0.3910547603
165	0.3907608714
166	0.390321322
167	0.3897482281
168	0.3894636203
169	0.389165345
170	0.3887507232
171	0.3883268472
172	0.3879719767
173	0.3876393591
174	0.387177423
175	0.3868556378
176	0.3865541263
177	0.3861454689
178	0.3853960363
179	0.3851988623
180	0.3849433545
181	0.3846405591
182	0.3842422525
183	0.3839540339
184	0.3836920268
185	0.3832279242
186	0.3829229891
187	0.3826291271
188	0.3821115586
189	0.3817563404
190	0.3814310513
191	0.3809698374
192	0.3807187427
193	0.3804504234
194	0.3800408299
195	0.3797258115
196	0.3795052076
197	0.3791755589
198	0.3788172114
199	0.378527709
200	0.3782150175
